id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000101400,01,ヲシャマンベ盛岡藩陣屋跡,をしやまんべもりおかはんじんやあと,ヲシャマンベ盛岡藩陣屋跡,北海道 山越郡長万部町 字長万部,42.511462,140.373736,施設,史跡・文化財・遺跡,史跡・文化財
010000102400,01,オバルベツ２遺跡,おばるべつにいせき,オバルベツ２遺跡,北海道 山越郡長万部町 字富野,42.520442,140.345997,施設,史跡・文化財・遺跡,遺跡
010000104900,01,花沢館跡,はなざわだてあと,花沢館跡,北海道 檜山郡上ノ国町 字勝山,41.798097,140.112383,施設,史跡・文化財・遺跡,建築物・住宅
010000105000,01,勝山館跡,かつやまだてあと,勝山館跡,北海道 檜山郡上ノ国町 字勝山,41.801518,140.100819,施設,史跡・文化財・遺跡,建築物・住宅
010000105100,01,夷王山墳墓群,いおうさんふんぼぐん,夷王山墳墓群,北海道 檜山郡上ノ国町 字原歌,41.802472,140.099279,施設,埋葬・信仰・宗教施設,墓所
010000105200,01,上ノ国八幡宮,かみのくにはちまんぐう,上ノ国八幡宮,北海道 檜山郡上ノ国町 字上ノ国238番地,41.803490,140.103836,施設,埋葬・信仰・宗教施設,神社
010000105300,01,夷王山神社,いおうさんじんじや,夷王山神社,北海道 檜山郡上ノ国町 字小森208番地,41.776176,140.143814,施設,埋葬・信仰・宗教施設,神社
010000105400,01,上国寺,じようこくじ,上国寺,北海道 檜山郡上ノ国町 字勝山416番地,41.803368,140.103424,施設,埋葬・信仰・宗教施設,寺院
010000105500,01,清浄寺,しようじようじ,清浄寺,北海道 檜山郡上ノ国町 字上ノ国294番地,41.803272,140.107803,施設,埋葬・信仰・宗教施設,寺院
010000105600,01,旧笹浪家住宅,きゆうささなみけじゆうたく,旧笹浪家住宅,北海道 檜山郡上ノ国町 字上ノ国,41.803404,140.104327,施設,史跡・文化財・遺跡,建築物・住宅
010000105900,01,洲崎館跡,すざきだてあと,洲崎館跡,北海道 檜山郡上ノ国町 字北村,41.810038,140.118467,施設,史跡・文化財・遺跡,建築物・住宅
010000106000,01,砂館神社,すなだてじんじや,砂館神社,北海道 檜山郡上ノ国町 字北村96番地,41.810043,140.117950,施設,埋葬・信仰・宗教施設,神社
010000106600,01,比石館跡,ひいしだてあと,比石館跡,北海道 檜山郡上ノ国町 字館野,41.704791,140.021635,施設,史跡・文化財・遺跡,建築物・住宅
010000106800,01,法香寺,ほうこうじ,法香寺,北海道 檜山郡上ノ国町 字石崎187番地,41.706093,140.027328,施設,埋葬・信仰・宗教施設,寺院
010000108600,01,江差沖之口役所跡,えさしおきのくちやくしよあと,江差沖之口役所跡,北海道 檜山郡江差町 字津花町,41.864616,140.121424,施設,史跡・文化財・遺跡,史跡・文化財
010000109700,01,法華寺,ほつけじ,法華寺,北海道 檜山郡江差町 字本町71番地,41.866192,140.126358,施設,埋葬・信仰・宗教施設,寺院
010000109800,01,戊辰の役戦死者の墳墓地,ぼしんのえきせんししやのふんぼち,戊辰の役戦死者の墳墓地,北海道 檜山郡江差町 字緑丘,41.865994,140.130836,施設,埋葬・信仰・宗教施設,墓所
010000110000,01,姥神大神宮,うばがみだいじんぐう,姥神大神宮,北海道 檜山郡江差町 字姥神町99番地1,41.866619,140.125229,施設,埋葬・信仰・宗教施設,神社
